27511656.63	-26.25	0.00	
27511657.98	-26.32	0.00	
27511658.92	-26.36	0.00	
27511659.87	-26.59	0.00	
27511660.86	-26.18	0.00	
27511661.90	-26.48	0.00	
27511662.87	-26.82	0.00	
27511663.77	-26.27	0.00	
27511664.70	-26.80	0.00	
27511675.53	-26.41	0.00	
27511676.42	-26.69	0.00	
27511677.29	-26.28	0.00	
27511678.16	-26.87	0.00	
27511679.03	-26.67	0.00	
27511679.88	-26.44	0.00	
27511680.76	-26.37	0.00	
27511681.64	-26.48	0.00	
27511682.50	-26.77	0.00	
27511683.37	-26.29	0.00	
27511684.25	-26.64	0.00	
27511685.11	-26.78	0.00	
27511685.98	-26.54	0.00	
27511686.86	-26.67	0.00	
27511687.72	-26.64	0.00	
27511688.58	-26.74	0.00	
27511689.44	-26.44	0.00	
27511690.30	-26.66	0.00	
27511691.18	-26.60	0.00	
27511692.03	-26.68	0.00	
27511692.90	-26.79	0.00	
27511693.77	-26.83	0.00	
27511694.64	-26.50	0.00	
27511695.50	-26.72	0.00	
27511696.38	-26.64	0.00	
27511697.25	-26.70	0.00	
27511698.11	-26.82	0.00	
27511698.96	-26.54	0.00	
27511699.82	-25.93	0.00	
27511700.68	-26.59	0.00	
27511701.54	-26.72	0.00	
27511702.41	-26.72	0.00	
27511703.27	-26.37	0.00	
27511704.14	-26.70	0.00	
27511705.02	-26.28	0.00	
27511705.90	-26.62	0.00	
27511706.77	-26.45	0.00	
27511707.64	-26.62	0.00	
27511708.50	-26.15	0.00	
27511709.36	-26.64	0.00	
27511710.24	-26.51	0.00	
27511711.10	-26.85	0.00	
27511711.98	-26.25	0.00	
27511712.86	-26.40	0.00	
27511713.75	-26.60	0.00	
27511714.62	-26.67	0.00	
27511715.47	-26.42	0.00	
27511716.33	-26.68	0.00	
27511717.18	-26.08	0.00	
27511718.04	-26.37	0.00	
27511718.89	-26.61	0.00	
27511719.76	-26.40	0.00	
27511720.86	-26.45	0.00	
27511721.78	-26.17	0.00	
27511722.64	-26.51	0.00	
27511723.53	-26.52	0.00	
27511724.39	-25.95	0.00	
27511725.25	-26.28	0.00	
27511726.12	-26.44	0.00	
27511726.99	-26.26	0.00	
27511727.85	-26.54	0.00	
27511728.72	-26.48	0.00	
27511729.58	-26.21	0.00	
27511730.45	-26.43	0.00	
27511731.32	-26.49	0.00	
27511732.18	-26.33	0.00	
27511733.05	-26.12	0.00	
27511733.90	-26.30	0.00	
27511734.78	-26.40	0.00	
27511735.64	-26.18	0.00	
27511736.50	-26.18	0.00	
27511737.36	-26.31	0.00	
27511738.23	-26.40	0.00	
27511739.11	-26.34	0.00	
27511739.98	-26.33	0.00	
27511740.85	-26.31	0.00	
27511741.72	-26.21	0.00	
27511742.59	-26.14	0.00	
27511743.45	-26.11	0.00	
27511744.31	-26.17	0.00	
27511745.16	-26.38	0.00	
27511746.02	-26.03	0.00	
27511746.88	-26.11	0.00	
27511747.74	-26.44	0.00	
27511748.60	-26.08	0.00	
27511749.45	-25.91	0.00	
27511750.31	-26.46	0.00	
27511751.19	-26.33	0.00	
27511752.05	-26.59	0.00	
27511752.92	-26.29	0.00	
