dat.A dat.B dat.C
0.092268359463302 -0.205996185171589 0.814532530922433
-0.982973099683902 -0.0913090278079946 0.302400515608461
-0.273662990072083 -0.544077960612612 -0.428347767219503
0.932472229404356 -1.67488854339771 -0.854058422423125
0.445738355776539 1.02951061308645 -0.970061769635237
-0.850217135729614 0.186392798885893 -0.791408552694781
-0.602634636379256 0.975949848839818 -0.47093406673434
0.739008917220659 0.815815845080626 0.224954321465774
0.73900891722066 -1.61435370755978 0.612189838932581
-0.602634636379255 -0.0671039895570122 0.972417757721195
-0.850217135729614 -0.999999999999999 0.957492655266491
0.445738355776537 0.273100174728606 0.454666554643114
0.932472229404356 1.70566273536777 -0.254999677716842
-0.273662990072084 -0.271737884468013 -0.656078468811918
-0.982973099683902 0.698938694557901 -0.921510335130636
0.0922683594633017 -1.21590341197234 -0.854486978247082
1 -1.21590341197234 -0.503178000556927
0.0922683594633037 0.698938694557897 0.181292034388994
-0.982973099683901 -0.271737884468016 0.826610654968868
-0.273662990072086 1.70566273536778 1.04056772484694
0.932472229404356 0.273100174728597 0.819062336427248
0.445738355776539 -1 0.217355734658418
-0.850217135729615 -0.067103989557009 -0.237730149509911
-0.602634636379258 -1.61435370755979 -0.924490083338524
0.73900891722066 0.815815845080629 -1.11445024189385
0.739008917220662 0.975949848839801 -0.930481171702262
-0.602634636379256 0.186392798885901 -0.53241907502412
-0.850217135729613 1.02951061308645 0.0522994562721532
0.445738355776536 -1.67488854339771 0.680243919949264
0.932472229404355 -0.544077960612601 0.957257195212017
-0.27366299007208 -0.0913090278080005 0.721298555729159
-0.982973099683902 -0.20599618517159 0.483199474365788
0.0922683594633043 2 -0.0117955160330176
1 -0.205996185171589 -0.649095544217122
0.0922683594633011 -0.0913090278079946 -1.11438377839736
-0.982973099683901 -0.544077960612612 -1.06290447521827
-0.273662990072083 -1.67488854339771 -0.481640902037666
0.932472229404354 1.02951061308645 -0.0982248280869659
0.44573835577654 0.186392798885893 0.611656010493163
-0.850217135729611 0.975949848839818 0.904042700345201
-0.602634636379259 0.815815845080626 1.03979920204171
0.739008917220659 -1.61435370755978 0.467949694752897
0.739008917220662 -0.0671039895570122 -0.129506643887523
-0.602634636379255 -0.999999999999999 -0.53656215715193
-0.850217135729617 0.273100174728606 -1.05783613907472
0.445738355776542 1.70566273536777 -0.944915797017575
0.932472229404356 -0.271737884468013 -0.546779742956245
-0.273662990072079 0.698938694557901 -0.0145690562300689
-0.982973099683901 -1.21590341197234 0.527547405961731
0.0922683594633033 -1.21590341197234 1.01753587115625
1 0.698938694557897 0.911949352829556
0.092268359463302 -0.271737884468016 0.561853207769331
-0.982973099683902 1.70566273536778 0.152347207239551
-0.273662990072083 0.273100174728597 -0.35625554784877
0.932472229404356 -1 -0.891452337017087
0.445738355776539 -0.067103989557009 -0.882436701974809
-0.850217135729614 -1.61435370755979 -0.710230741878638
-0.602634636379256 0.815815845080629 0.00664930884541254
0.739008917220659 0.975949848839801 0.479614757401107
0.73900891722066 0.186392798885901 0.960242810940635
-0.602634636379255 1.02951061308645 0.845439552311944
-0.850217135729614 -1.67488854339771 0.59849278393862
0.445738355776537 -0.544077960612601 -0.00534841818346608
0.932472229404356 -0.0913090278080005 -0.483838060530895
-0.273662990072084 -0.20599618517159 -0.812715399414019
-0.982973099683902 2 -0.854776836755628
0.0922683594633017 -0.205996185171589 -0.59401907445285
1 -0.0913090278079946 -0.156773011817032
0.0922683594633037 -0.544077960612612 0.547268557259137
-0.982973099683901 -1.67488854339771 0.782040629988149
-0.273662990072086 1.02951061308645 1.02072746948483
0.932472229404356 0.186392798885893 0.547377295292078
0.445738355776539 0.975949848839818 0.0346707884560612
-0.850217135729615 0.815815845080626 -0.485513887038785
-0.602634636379258 -1.61435370755978 -1.04210863986034
0.73900891722066 -0.0671039895570122 -0.870659811619326
0.739008917220662 -0.999999999999999 -0.860566666304673
-0.602634636379256 0.273100174728606 -0.213282337330125
-0.850217135729613 1.70566273536777 0.330720554271026
0.445738355776536 -0.271737884468013 1.03095203450468
0.932472229404355 0.698938694557901 1.05155267782189
-0.27366299007208 -1.21590341197234 0.711792377857537
-0.982973099683902 -1.21590341197234 0.272096500480566
0.0922683594633043 0.698938694557897 -0.336023531567584
1 -0.271737884468016 -0.819397518458248
0.0922683594633011 1.70566273536778 -0.979766285837209
-0.982973099683901 0.273100174728597 -0.688846525320065
-0.273662990072083 -1 -0.00912435582141433
0.932472229404354 -0.067103989557009 0.260693896433835
0.44573835577654 -1.61435370755979 0.839919121508028
-0.850217135729611 0.815815845080629 0.956430129644942
-0.602634636379259 0.975949848839801 0.755708872727624
0.739008917220659 0.186392798885901 0.268276401353607
0.739008917220662 1.02951061308645 -0.234591617390336
-0.602634636379255 -1.67488854339771 -0.770892248069749
-0.850217135729617 -0.544077960612601 -1.14148079312769
0.445738355776542 -0.0913090278080005 -0.954809375380562
0.932472229404356 -0.20599618517159 -0.201922122270939
-0.273662990072079 2 0.335642565334139
-0.982973099683901 -0.205996185171589 0.935360752838386
0.0922683594633033 -0.0913090278079946 0.923819566082197
